institute,program,quota,seat_type,gender,opening_rank,closing_rank,round,year,is_special_round,institute_type,is_pwd,category_base,gender_short,rank_window,competitiveness_score,iit_generation,nit_region,program_category,yoy_closing_rank_change,is_new_age_program,is_top_tier_college,accessibility_label,last_round
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),66352,66352,6,2023,False,GFTI,False,OPEN,FO,0,0.9373,Not IIT,Not NIT,Other,-10906.0,False,False,Low Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),68243,68243,6,2025,False,GFTI,False,OPEN,FO,0,0.9481,Not IIT,Not NIT,Other,1891.0,False,False,Low Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),183196,349132,5,2019,False,GFTI,False,OPEN,FO,165936,0.695,Not IIT,Not NIT,Other,111623.0,False,False,Low Competition,5
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),134705,134705,5,2024,False,GFTI,False,OPEN,FO,0,0.9015,Not IIT,Not NIT,Other,-21156.0,False,False,Low Competition,5
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),319967,319967,6,2018,False,GFTI,False,OPEN,FO,0,0.6981,Not IIT,Not NIT,Other,190338.0,False,False,Low Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),222174,222174,6,2020,False,GFTI,False,OPEN,FO,0,0.7771,Not IIT,Not NIT,Other,-97793.0,False,False,Low Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),191592,191592,6,2021,False,GFTI,False,OPEN,FO,0,0.7693,Not IIT,Not NIT,Other,-30582.0,False,False,Low Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),151517,159529,6,2022,False,GFTI,False,OPEN,FO,8012,0.8188,Not IIT,Not NIT,Other,-32063.0,False,False,Low Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),155861,155861,6,2023,False,GFTI,False,OPEN,FO,0,0.8527,Not IIT,Not NIT,Other,-3668.0,False,False,Low Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),129629,129629,6,2025,False,GFTI,False,OPEN,FO,0,0.9014,Not IIT,Not NIT,Other,-26232.0,False,False,Low Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,28424,50766,5,2019,False,GFTI,False,OPEN,GN,22342,0.9557,Not IIT,Not NIT,Other,48519.0,False,False,Low Competition,5
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,67259,73418,5,2024,False,GFTI,False,OPEN,GN,6159,0.9463,Not IIT,Not NIT,Other,-1790.0,False,False,Low Competition,5
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,44634,55991,6,2018,False,GFTI,False,OPEN,GN,11357,0.9472,Not IIT,Not NIT,Other,54959.0,False,False,Low Competition,6
